contract_id,supplier_id,contract_no,category,currency,agreed_lead_time_days,payment_terms,start_date,end_date,status
CTR-000001,SUP-00379,ДОГ-7651/2025,Металлопрокат,CNY,30,Предоплата 50%,2025-02-11,2026-09-03,Действует
CTR-000002,SUP-00210,ДОГ-4790/2024,Крепёж,CNY,10,Предоплата 50%,2024-03-10,2026-09-18,Действует
CTR-000003,SUP-00051,ДОГ-6556/2025,Услуги (логистика/ремонт),CNY,21,Предоплата 50%,2025-01-27,2026-09-06,Действует
CTR-000004,SUP-00164,ДОГ-4326/2024,Крепёж,CNY,7,Отсрочка 30 дней,2024-07-25,2026-06-21,Действует
CTR-000005,SUP-00312,ДОГ-9396/2025,Электрооборудование,RUB,10,Предоплата 100%,2025-01-20,2026-01-29,Действует
CTR-000006,SUP-00048,ДОГ-6766/2024,Металлопрокат,RUB,21,Отсрочка 30 дней,2024-02-10,2026-02-18,Действует
CTR-000007,SUP-00405,ДОГ-5654/2024,Услуги (логистика/ремонт),RUB,45,Предоплата 100%,2024-09-29,2026-09-04,Действует
CTR-000008,SUP-00025,ДОГ-7482/2024,ЛКМ и химия,RUB,30,Предоплата 50%,2024-05-17,2025-04-21,Истёк
CTR-000009,SUP-00341,ДОГ-8337/2025,Услуги (логистика/ремонт),RUB,7,Предоплата 50%,2025-03-15,2026-11-03,Действует
CTR-000010,SUP-00175,ДОГ-1553/2024,ЛКМ и химия,RUB,7,Отсрочка 15 дней,2024-07-19,2025-05-10,Истёк
CTR-000011,SUP-00017,ДОГ-8704/2024,Шины и диски,RUB,30,Отсрочка 30 дней,2024-09-01,2026-05-06,Действует
CTR-000012,SUP-00386,ДОГ-8608/2024,Услуги (логистика/ремонт),RUB,7,Отсрочка 15 дней,2024-09-29,2026-04-19,Действует
CTR-000013,SUP-00422,ДОГ-7228/2025,Шины и диски,RUB,10,Отсрочка 15 дней,2025-07-27,2026-12-15,Действует
CTR-000014,SUP-00025,ДОГ-3936/2025,Электрооборудование,RUB,7,Предоплата 50%,2025-01-08,2026-05-06,Действует
CTR-000015,SUP-00065,ДОГ-7988/2024,ЛКМ и химия,RUB,7,Отсрочка 15 дней,2024-06-07,2026-04-29,Действует
CTR-000016,SUP-00422,ДОГ-6495/2024,Гидравлика,RUB,14,Отсрочка 15 дней,2024-10-17,2026-10-27,Действует
CTR-000017,SUP-00175,ДОГ-5288/2025,ЛКМ и химия,RUB,14,Отсрочка 15 дней,2025-03-15,2026-07-02,Действует
CTR-000018,SUP-00374,ДОГ-5007/2024,Шины и диски,RUB,14,Отсрочка 30 дней,2024-03-09,2026-08-04,Действует
CTR-000019,SUP-00284,ДОГ-7716/2024,ЛКМ и химия,RUB,30,Отсрочка 45 дней,2024-10-12,2026-06-01,Действует
CTR-000020,SUP-00397,ДОГ-6377/2025,Гидравлика,RUB,30,Предоплата 50%,2025-07-22,2026-04-15,Действует
CTR-000021,SUP-00382,ДОГ-9558/2024,ЛКМ и химия,RUB,10,Отсрочка 30 дней,2024-08-05,2026-10-13,Действует
CTR-000022,SUP-00065,ДОГ-3839/2024,Крепёж,USD,7,Отсрочка 15 дней,2024-01-03,2026-02-14,Действует
CTR-000023,SUP-00215,ДОГ-7763/2024,Электрооборудование,RUB,21,Отсрочка 15 дней,2024-10-29,2026-06-09,Действует
CTR-000024,SUP-00400,ДОГ-1703/2024,ЛКМ и химия,RUB,30,Предоплата 100%,2024-05-09,2026-01-19,Действует
CTR-000025,SUP-00178,ДОГ-4660/2024,Металлопрокат,RUB,10,Отсрочка 15 дней,2024-11-01,2025-09-30,Истёк
CTR-000026,SUP-00432,ДОГ-4342/2024,Услуги (логистика/ремонт),RUB,21,Отсрочка 30 дней,2024-12-24,2026-03-13,Действует
CTR-000027,SUP-00422,ДОГ-6527/2025,Услуги (логистика/ремонт),RUB,30,Отсрочка 15 дней,2025-06-19,2026-10-16,Действует
CTR-000028,SUP-00469,ДОГ-5277/2024,Электрооборудование,CNY,14,Отсрочка 45 дней,2024-03-15,2026-02-18,Действует
CTR-000029,SUP-00076,ДОГ-2187/2024,Шины и диски,CNY,30,Предоплата 50%,2024-11-25,2026-02-26,Действует
CTR-000030,SUP-00166,ДОГ-7674/2024,Подшипники,RUB,7,Предоплата 100%,2024-07-22,2025-06-18,Истёк
CTR-000031,SUP-00422,ДОГ-5343/2024,Гидравлика,RUB,45,Отсрочка 15 дней,2024-07-12,2026-04-17,Действует
CTR-000032,SUP-00044,ДОГ-7810/2024,Гидравлика,CNY,7,Отсрочка 15 дней,2024-10-29,2026-11-06,Действует
CTR-000033,SUP-00021,ДОГ-7249/2024,Металлопрокат,RUB,45,Отсрочка 45 дней,2024-11-11,2026-06-06,Действует
CTR-000034,SUP-00038,ДОГ-8631/2025,ЛКМ и химия,RUB,7,Отсрочка 15 дней,2025-05-07,2025-11-12,Истёк
CTR-000035,SUP-00139,ДОГ-7006/2024,Металлопрокат,RUB,10,Отсрочка 45 дней,2024-11-16,2026-10-15,Действует
CTR-000036,SUP-00413,ДОГ-8347/2024,Электрооборудование,RUB,10,Отсрочка 45 дней,2024-10-08,2026-04-16,Действует
CTR-000037,SUP-00084,ДОГ-1152/2025,Подшипники,RUB,10,Отсрочка 30 дней,2025-06-10,2026-05-13,Действует
CTR-000038,SUP-00154,ДОГ-4763/2025,Металлопрокат,RUB,10,Отсрочка 30 дней,2025-08-04,2026-03-27,Действует
CTR-000039,SUP-00115,ДОГ-8008/2025,Услуги (логистика/ремонт),RUB,7,Отсрочка 45 дней,2025-04-18,2026-05-28,Действует
CTR-000040,SUP-00181,ДОГ-6691/2025,Электрооборудование,RUB,45,Предоплата 50%,2025-03-07,2026-11-22,Действует
CTR-000041,SUP-00032,ДОГ-2281/2024,Подшипники,RUB,45,Отсрочка 30 дней,2024-10-05,2026-02-25,Действует
CTR-000042,SUP-00285,ДОГ-4551/2024,ЛКМ и химия,RUB,7,Отсрочка 45 дней,2024-09-15,2026-01-28,Действует
CTR-000043,SUP-00048,ДОГ-1268/2024,Крепёж,USD,45,Отсрочка 30 дней,2024-10-24,2026-11-07,Действует
CTR-000044,SUP-00065,ДОГ-1853/2024,Электрооборудование,RUB,21,Отсрочка 15 дней,2024-06-10,2026-06-12,Действует
CTR-000045,SUP-00412,ДОГ-8578/2025,Крепёж,USD,45,Предоплата 50%,2025-02-21,2026-10-20,Действует
CTR-000046,SUP-00318,ДОГ-2734/2025,Подшипники,RUB,7,Предоплата 50%,2025-05-16,2025-05-17,Истёк
CTR-000047,SUP-00168,ДОГ-3524/2025,Услуги (логистика/ремонт),RUB,14,Предоплата 100%,2025-07-02,2026-08-27,Действует
CTR-000048,SUP-00235,ДОГ-1657/2024,Электрооборудование,USD,21,Отсрочка 30 дней,2024-02-29,2026-11-16,Действует
CTR-000049,SUP-00397,ДОГ-5053/2024,Услуги (логистика/ремонт),RUB,45,Предоплата 50%,2024-10-09,2025-08-15,Истёк
CTR-000050,SUP-00075,ДОГ-3129/2025,Крепёж,RUB,7,Отсрочка 30 дней,2025-08-04,2026-03-11,Действует
CTR-000051,SUP-00046,ДОГ-7814/2025,Металлопрокат,RUB,21,Отсрочка 45 дней,2025-04-07,2026-07-10,Действует
CTR-000052,SUP-00422,ДОГ-4695/2025,Подшипники,RUB,7,Отсрочка 15 дней,2025-05-05,2026-12-02,Действует
CTR-000053,SUP-00291,ДОГ-6215/2024,Крепёж,USD,7,Отсрочка 15 дней,2024-09-08,2026-11-16,Действует
CTR-000054,SUP-00067,ДОГ-5092/2024,Шины и диски,CNY,21,Отсрочка 15 дней,2024-05-19,2025-07-25,Истёк
CTR-000055,SUP-00069,ДОГ-3364/2024,Крепёж,USD,10,Отсрочка 45 дней,2024-01-16,2025-01-14,Истёк
CTR-000056,SUP-00166,ДОГ-7266/2024,Шины и диски,RUB,45,Предоплата 100%,2024-11-18,2026-11-12,Действует
CTR-000057,SUP-00384,ДОГ-5823/2025,ЛКМ и химия,USD,7,Отсрочка 30 дней,2025-06-30,2026-06-11,Действует
CTR-000058,SUP-00140,ДОГ-6416/2025,Металлопрокат,RUB,21,Предоплата 100%,2025-06-09,2026-11-07,Действует
CTR-000059,SUP-00016,ДОГ-7185/2024,Электрооборудование,RUB,30,Отсрочка 30 дней,2024-06-13,2024-12-15,Истёк
CTR-000060,SUP-00398,ДОГ-9140/2024,ЛКМ и химия,CNY,45,Отсрочка 45 дней,2024-11-10,2026-08-31,Действует
CTR-000061,SUP-00438,ДОГ-3620/2025,Электрооборудование,USD,10,Отсрочка 45 дней,2025-02-04,2026-05-01,Действует
CTR-000062,SUP-00124,ДОГ-3621/2025,Электрооборудование,CNY,10,Отсрочка 45 дней,2025-04-02,2026-06-10,Действует
CTR-000063,SUP-00013,ДОГ-3322/2024,Подшипники,RUB,45,Предоплата 100%,2024-03-17,2026-02-25,Действует
CTR-000064,SUP-00166,ДОГ-2168/2024,Электрооборудование,USD,10,Предоплата 100%,2024-06-04,2026-03-14,Действует
CTR-000065,SUP-00021,ДОГ-7590/2024,Шины и диски,USD,10,Отсрочка 45 дней,2024-11-15,2026-11-07,Действует
CTR-000066,SUP-00201,ДОГ-5860/2024,Подшипники,RUB,21,Предоплата 50%,2024-05-31,2026-11-28,Действует
CTR-000067,SUP-00166,ДОГ-1443/2024,Электрооборудование,RUB,10,Предоплата 100%,2024-12-03,2026-10-04,Действует
CTR-000068,SUP-00084,ДОГ-1714/2024,ЛКМ и химия,CNY,30,Отсрочка 30 дней,2024-04-13,2026-02-03,Действует
CTR-000069,SUP-00422,ДОГ-2371/2024,Подшипники,RUB,7,Отсрочка 15 дней,2024-08-11,2025-11-12,Истёк
CTR-000070,SUP-00477,ДОГ-9378/2024,Крепёж,RUB,30,Предоплата 50%,2024-06-20,2026-06-14,Действует
CTR-000071,SUP-00064,ДОГ-7577/2025,ЛКМ и химия,RUB,7,Отсрочка 15 дней,2025-03-15,2026-09-26,Действует
CTR-000072,SUP-00397,ДОГ-9802/2024,Металлопрокат,USD,14,Предоплата 50%,2024-04-16,2026-10-25,Действует
CTR-000073,SUP-00490,ДОГ-3910/2024,Услуги (логистика/ремонт),USD,45,Отсрочка 45 дней,2024-05-10,2026-07-31,Действует
CTR-000074,SUP-00248,ДОГ-7581/2024,ЛКМ и химия,USD,45,Предоплата 100%,2024-09-01,2026-07-31,Действует
CTR-000075,SUP-00144,ДОГ-4566/2024,ЛКМ и химия,RUB,7,Отсрочка 15 дней,2024-04-25,2026-03-21,Действует
CTR-000076,SUP-00296,ДОГ-3998/2025,Металлопрокат,RUB,45,Предоплата 100%,2025-03-16,2026-04-22,Действует
CTR-000077,SUP-00035,ДОГ-4554/2024,Крепёж,RUB,45,Отсрочка 45 дней,2024-10-12,2026-10-13,Действует
CTR-000078,SUP-00221,ДОГ-2475/2025,Услуги (логистика/ремонт),CNY,21,Предоплата 100%,2025-06-01,2026-09-14,Действует
CTR-000079,SUP-00064,ДОГ-5549/2025,Крепёж,RUB,30,Отсрочка 15 дней,2025-02-14,2026-11-23,Действует
CTR-000080,SUP-00366,ДОГ-8077/2024,Гидравлика,USD,7,Отсрочка 15 дней,2024-04-17,2026-05-06,Действует
CTR-000081,SUP-00384,ДОГ-4222/2024,Подшипники,CNY,14,Отсрочка 30 дней,2024-06-15,2026-07-11,Действует
CTR-000082,SUP-00080,ДОГ-6271/2025,Металлопрокат,RUB,10,Предоплата 50%,2025-02-03,2025-11-06,Истёк
CTR-000083,SUP-00125,ДОГ-6820/2025,Подшипники,USD,30,Предоплата 100%,2025-06-20,2026-04-16,Действует
CTR-000084,SUP-00067,ДОГ-7522/2025,Гидравлика,RUB,21,Отсрочка 15 дней,2025-07-26,2026-12-01,Действует
CTR-000085,SUP-00397,ДОГ-4388/2024,Гидравлика,RUB,10,Предоплата 50%,2024-08-31,2026-10-25,Действует
CTR-000086,SUP-00413,ДОГ-2868/2025,Гидравлика,RUB,21,Отсрочка 45 дней,2025-02-15,2026-12-05,Действует
CTR-000087,SUP-00193,ДОГ-1013/2024,Крепёж,RUB,10,Предоплата 100%,2024-09-04,2026-03-10,Действует
CTR-000088,SUP-00341,ДОГ-3496/2024,Крепёж,CNY,30,Предоплата 50%,2024-06-03,2025-02-06,Истёк
CTR-000089,SUP-00384,ДОГ-2037/2024,Услуги (логистика/ремонт),RUB,45,Отсрочка 30 дней,2024-08-11,2025-04-22,Истёк
CTR-000090,SUP-00469,ДОГ-9077/2024,Гидравлика,RUB,45,Отсрочка 45 дней,2024-01-15,2025-02-05,Истёк
CTR-000091,SUP-00022,ДОГ-9818/2025,Крепёж,RUB,10,Отсрочка 30 дней,2025-01-08,2026-12-05,Действует
CTR-000092,SUP-00398,ДОГ-2913/2024,Услуги (логистика/ремонт),CNY,45,Отсрочка 45 дней,2024-05-04,2026-08-11,Действует
